Rank,City,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
1,"New York, NY",100,100,100,100,100,100
2,"San Francisco, CA",99.7,92.5,96.2,99.6,98.5,106.8
3,"Santa Barbara, CA",111.3,88.8,100.6,117.3,115,72
4,"San Diego, CA",83,77.1,80.2,76.7,83,117.3
5,"Boston, MA",85.1,76,80.8,83.3,87.5,110.5
6,"Oakland, CA",94,74.6,84.7,96.7,85.5,96.3
7,"Los Angeles, CA",79.2,73.8,76.6,76,88.7,118
8,"San Jose, CA",85,73,79.3,80.1,83.8,143.6
9,"Miami, FL",81.2,71.2,76.4,79.5,87.7,92.9
10,"Washington, DC",83.2,70.9,77.3,80.9,84,125.3
11,"Seattle, WA",93.7,70.1,82.4,88.5,98.9,123.1
12,"Austin, TX",74,65.7,70,70,79.4,125.9
13,"Honolulu, HI",102.9,62.2,83.5,112.7,83.2,77.1
14,"Fort Lauderdale, FL",72.5,62,67.5,69.2,80.5,118.9
15,"Tampa, FL",74.9,60.6,68.1,68.6,77.9,120.5
16,"Charlotte, NC",81.2,60,71,81,74.7,110.2
17,"Nashville, TN",79.8,58.3,69.5,81,73.3,111.8
18,"Chicago, IL",79.9,57.8,69.3,77.5,81.3,129.6
19,"Raleigh, NC",79.8,57.7,69.2,72.6,79.9,107.8
20,"Denver, CO",79.9,55.5,68.2,76.7,72.2,134.5
21,"Dallas, TX",77,53.8,65.9,75.3,76.9,136.4
22,"Orlando, FL",71.8,52.6,62.7,68.7,75.3,128.7
23,"Sacramento, CA",84.5,52.2,69.1,89.1,73,117.2
24,"Portland, OR",82.4,51.6,67.7,81.3,74.6,114.1
25,"Atlanta, GA",73.6,51.2,62.9,70.4,66.1,129.9
26,"Phoenix, AZ",74.4,48.8,62.2,70.1,77.2,138.1
27,"Philadelphia, PA",79.2,48.7,64.6,78.9,76.4,129
28,"Minneapolis, MN",75.3,47.2,61.9,73.7,76.4,132.4
29,"Salt Lake City, UT",65.5,45.5,55.9,63.2,69.8,130.6
30,"Baltimore, MD",74.5,45,60.3,75.4,68,138.1
31,"Reno, NV",71.7,45,58.9,70.4,72.6,88.6
32,"New Orleans, LA",80.7,44.8,63.6,79.9,79.7,94.7
33,"Houston, TX",69.5,44.7,57.6,62.9,72.3,151.6
34,"Boise, ID",69.9,44,57.5,64.6,65.7,86.6
35,"Madison, WI",71.9,43.5,58.3,70.3,67,94.9
36,"Fort Worth, TX",74.9,42.7,59.5,78.4,62.7,125.5
37,"Albuquerque, NM",69.4,42.3,56.4,66.8,64.8,152.2
38,"Spokane, WA",72.4,42.3,58,66.3,74,103
39,"Kansas City, MO",70.4,41.9,56.8,64.6,71.2,117.4
40,"Greenville, SC",73.4,41.8,58.3,73.9,64.3,138
41,"San Antonio, TX",67.1,41.5,54.9,59.8,69,138
42,"Las Vegas, NV",73.3,41.4,58.1,66.5,72.5,115.5
43,"Columbus, OH",72.7,41.3,57.6,66.3,67,122
44,"Anchorage, AK",85.4,41,64.2,87.5,77.9,114.9
45,"Jacksonville, FL",69.1,40.4,55.3,70.9,70.8,136.3
46,"Saint Paul, MN",75.6,39.9,58.5,75.8,67.9,128.3
47,"Milwaukee, WI",70.8,39.6,55.9,62.9,67,148.1
48,"Cincinnati, OH",63.2,39.5,51.9,63.3,58.8,116.5
49,"Richmond, VA",65.8,39.5,53.2,59.8,80.6,198
50,"Cleveland, OH",75.4,39,58,75.4,68.2,129.8
51,"Buffalo, NY",77.9,38.4,59,78.1,69.7,107.4
52,"Pittsburgh, PA",75.9,38.2,57.9,80.9,62.9,122.9
53,"Colorado Springs, CO",73,38.1,56.3,69.7,77.6,131.6
54,"Chattanooga, TN",73.1,37.7,56.2,69,69.8,124.5
55,"Oklahoma City, OK",72.4,37.7,55.8,70.5,57.2,95.2
56,"Birmingham, AL",75.3,37.3,57.1,80.3,66.3,83.6
57,"Indianapolis, IN",74.4,37.2,56.6,73.7,73.2,131.9
58,"Detroit, MI",72.5,37.1,55.6,68.8,63.4,117.8
59,"Tucson, AZ",72.6,37.1,55.6,72.4,66.6,121.4
60,"Memphis, TN",64.8,36.1,51.1,64.8,65,156.5
61,"Knoxville, TN",60.8,35.2,48.5,56.9,58.6,146.9
62,"Saint Louis, MO",67.7,34.4,51.7,68.1,64.2,104.9
63,"Huntsville, AL",65.8,32.3,49.8,64.3,61.9,175.6
64,"Louisville, KY",67.2,31.9,50.3,67.8,63.9,155.9
65,"Omaha, NE",76.1,30.9,54.5,70.2,78.8,115.3
66,"Tulsa, OK",64.3,30.3,48,60.1,54.4,174.9
